類別：所有類別

天,wfh: (香港),口罩: (香港)
2020-01-01,0,<1
2020-01-02,0,2
2020-01-03,0,1
2020-01-04,0,3
2020-01-05,0,4
2020-01-06,0,8
2020-01-07,0,10
2020-01-08,0,9
2020-01-09,<1,5
2020-01-10,0,3
2020-01-11,0,3
2020-01-12,0,2
2020-01-13,0,2
2020-01-14,0,1
2020-01-15,0,1
2020-01-16,0,1
2020-01-17,0,1
2020-01-18,0,1
2020-01-19,0,1
2020-01-20,0,2
2020-01-21,0,8
2020-01-22,0,18
2020-01-23,0,50
2020-01-24,0,49
2020-01-25,0,45
2020-01-26,0,51
2020-01-27,0,63
2020-01-28,0,78
2020-01-29,<1,100
2020-01-30,0,91
2020-01-31,<1,81
2020-02-01,<1,76
2020-02-02,<1,68
2020-02-03,<1,73
2020-02-04,<1,76
2020-02-05,<1,73
2020-02-06,<1,63
2020-02-07,<1,62
2020-02-08,0,65
2020-02-09,0,47
2020-02-10,<1,44
2020-02-11,1,43
2020-02-12,<1,42
2020-02-13,<1,37
2020-02-14,<1,49
2020-02-15,<1,33
2020-02-16,<1,32
2020-02-17,<1,29
2020-02-18,0,26
2020-02-19,<1,24
2020-02-20,<1,25
2020-02-21,<1,20
2020-02-22,<1,21
2020-02-23,<1,19
2020-02-24,<1,20
2020-02-25,<1,24
2020-02-26,<1,17
2020-02-27,<1,15
2020-02-28,<1,16
2020-02-29,<1,15
2020-03-01,0,15
2020-03-02,<1,14
2020-03-03,<1,17
2020-03-04,<1,15
2020-03-05,0,15
2020-03-06,<1,14
2020-03-07,<1,16
2020-03-08,0,15
2020-03-09,<1,15
2020-03-10,<1,23
2020-03-11,<1,29
2020-03-12,<1,28
2020-03-13,<1,19
2020-03-14,<1,22
2020-03-15,<1,21
2020-03-16,<1,19
2020-03-17,<1,23
2020-03-18,<1,19
2020-03-19,<1,17
2020-03-20,<1,19
2020-03-21,<1,23
2020-03-22,<1,20
2020-03-23,<1,19
2020-03-24,<1,16
2020-03-25,<1,17
2020-03-26,<1,19
2020-03-27,<1,18
2020-03-28,<1,17
2020-03-29,<1,14
2020-03-30,<1,15
2020-03-31,<1,17
2020-04-01,<1,17
2020-04-02,<1,18
2020-04-03,<1,16
2020-04-04,<1,17
2020-04-05,<1,14
2020-04-06,<1,21
2020-04-07,<1,17
2020-04-08,<1,16
2020-04-09,<1,15
2020-04-10,<1,15
2020-04-11,<1,13
2020-04-12,<1,12
2020-04-13,<1,20
2020-04-14,<1,13
2020-04-15,<1,13
2020-04-16,<1,13
2020-04-17,<1,16
2020-04-18,<1,11
2020-04-19,<1,10
2020-04-20,<1,10
2020-04-21,<1,12
2020-04-22,0,12
2020-04-23,<1,10
2020-04-24,<1,10
2020-04-25,<1,12
2020-04-26,<1,10
2020-04-27,<1,7
2020-04-28,<1,8
2020-04-29,<1,8
2020-04-30,<1,9
2020-05-01,0,8
2020-05-02,0,7
2020-05-03,<1,7
2020-05-04,<1,7
2020-05-05,<1,15
2020-05-06,<1,26
2020-05-07,<1,12
2020-05-08,<1,12
2020-05-09,0,12
2020-05-10,<1,10
2020-05-11,<1,10
2020-05-12,<1,10
2020-05-13,<1,9
2020-05-14,<1,9
2020-05-15,<1,9
2020-05-16,0,10
2020-05-17,0,9
2020-05-18,<1,10
2020-05-19,0,8
2020-05-20,<1,9
2020-05-21,0,9
2020-05-22,0,9
2020-05-23,0,8
2020-05-24,0,8
2020-05-25,0,8
2020-05-26,<1,7
2020-05-27,<1,8
2020-05-28,0,9
2020-05-29,0,12
2020-05-30,<1,8
2020-05-31,0,9
2020-06-01,0,8
2020-06-02,<1,8
2020-06-03,<1,9
2020-06-04,<1,8
2020-06-05,<1,9
2020-06-06,<1,8
2020-06-07,<1,8
2020-06-08,0,8
2020-06-09,<1,10
2020-06-10,0,7
2020-06-11,0,8
2020-06-12,<1,8
2020-06-13,0,8
2020-06-14,0,7
2020-06-15,0,8
2020-06-16,0,7
2020-06-17,<1,6
2020-06-18,<1,7
2020-06-19,<1,7
2020-06-20,0,7
2020-06-21,0,5
2020-06-22,<1,6
2020-06-23,0,6
2020-06-24,0,6
2020-06-25,0,7
2020-06-26,0,8
2020-06-27,0,7
2020-06-28,0,6
2020-06-29,0,6
2020-06-30,<1,5
